Date,Open,High,Low,Close
20-Apr-17,9108,9144,9103,9136.4
21-Apr-17,9179,9184,9089,9119.4
24-Apr-17,9135,9225,9131,9217.95
25-Apr-17,9273,9309,9250,9306.6
26-Apr-17,9336,9367,9301,9351.85
27-Apr-17,9359,9367,9323,9342.15
28-Apr-17,9341,9343,9282,9304.05
2-May-17,9340,9353,9270,9313.8
3-May-17,9345,9346,9298,9311.95
4-May-17,9361,9366,9323,9359.9
5-May-17,9375,9377,9272,9285.3
8-May-17,9311,9339,9298,9314.05
9-May-17,9337,9339,9308,9316.85
10-May-17,9340,9415,9336,9407.3
11-May-17,9449,9451,9411,9422.4
12-May-17,9437,9438,9373,9400.9
15-May-17,9434,9449,9423,9445.4
16-May-17,9461,9517,9456,9512.25
17-May-17,9518,9533,9486,9525.75
18-May-17,9453,9489,9418,9429.45
19-May-17,9470,9506,9391,9427.9
22-May-17,9480,9499,9428,9438.25
23-May-17,9445,9448,9370,9386.15
24-May-17,9411,9432,9342,9360.55
25-May-17,9384,9523,9379,9509.75
26-May-17,9508,9605,9495,9595.1
29-May-17,9560,9638,9548,9604.9
30-May-17,9591,9635,9581,9624.55
31-May-17,9637,9650,9609,9621.25
1-Jun-17,9604,9635,9590,9616.1
2-Jun-17,9657,9674,9637,9653.5
5-Jun-17,9656,9687,9641,9675.1
6-Jun-17,9704,9709,9630,9637.15
7-Jun-17,9664,9679,9631,9663.9
8-Jun-17,9682,9689,9642,9647.25
9-Jun-17,9639,9676,9608,9668.25
12-Jun-17,9647,9647,9599,9616.4
13-Jun-17,9616,9654,9595,9606.9
14-Jun-17,9622,9627,9580,9618.15
15-Jun-17,9618,9621,9561,9578.05
16-Jun-17,9595,9616,9566,9588.05
19-Jun-17,9626,9673,9615,9657.55
20-Jun-17,9671,9677,9644,9653.5
21-Jun-17,9648,9650,9609,9633.6
22-Jun-17,9643,9699,9618,9630
23-Jun-17,9643,9648,9565,9574.95
27-Jun-17,9594,9615,9473,9511.4
28-Jun-17,9520,9523,9474,9491.25
29-Jun-17,9523,9576,9494,9504.1
30-Jun-17,9479,9536,9449,9520.9
3-Jul-17,9588,9624,9544,9615
4-Jul-17,9646,9651,9596,9613.3
5-Jul-17,9620,9644,9607,9637.6
6-Jul-17,9654,9701,9640,9674.55
7-Jul-17,9670,9684,9643,9665.8
10-Jul-17,9719,9782,9646,9771.05
11-Jul-17,9797,9830,9779,9786.05
12-Jul-17,9807,9825,9788,9816.1
13-Jul-17,9856,9897,9853,9891.7
14-Jul-17,9913,9913,9845,9886.35
17-Jul-17,9908,9928,9895,9915.95
18-Jul-17,9833,9885,9792,9827.15
19-Jul-17,9856,9905,9852,9899.6
20-Jul-17,9920,9923,9863,9873.3
21-Jul-17,9900,9925,9838,9915.25
24-Jul-17,9937,9982,9920,9966.4
25-Jul-17,10011,10011,9949,9964.55
26-Jul-17,9984,10026,9966,10020.65
27-Jul-17,10063,10115,10006,10020.55
28-Jul-17,9997,10026,9945,10014.5
31-Jul-17,10035,10086,10017,10077.1
1-Aug-17,10101,10129,10066,10114.65
2-Aug-17,10136,10138,10054,10081.5
